Number of generations: 10
Total run time: 68 seconds
gen_num, champ_fit, average_fit, std_fit, champ_cppn_con, champ_ann_con, mean_genetic_dist, std_genetic_dist  
0,0.5572107700312887,0.5572107700312885,2.220446049250313e-16,0,4,0.6493319973279897,0.35841950183972804
1,0.7878869763491326,0.5635092260289412,0.04636867948336402,1,5,1.310194197919646,0.5904259701242394
2,1.01,0.6461457802421233,0.11981896565410563,1,6,1.7353171711388264,0.2639793799421932
3,1.4016346028867965,0.7078358433718398,0.1475152869873811,2,8,1.8201649330406944,0.317430796999037
4,3.2195508539913043,0.7166665124683774,0.2305926745125404,1,6,1.7815013143169536,0.33847804487984245
5,3.2195508539913043,0.7179258212308433,0.2368197756135481,1,6,1.8002966972906949,0.21968512578410898
6,3.2195508539913043,0.7231659700081817,0.23566515026718476,1,6,1.7946937887318772,0.2407406344166972
7,3.2195508539913043,0.7470770907973404,0.2935093966885947,1,6,1.787537990844612,0.24998235422384846
8,4.01,0.7544474096494956,0.3621945203886064,1,6,1.7926346198891392,0.21280473161533592
9,4.01,0.742621577763993,0.3651527367674551,1,6,1.8032387285393392,0.20215783508325574
